docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
374,6,16,ostaja,,ostajati,Vmpr3s,VERB,O,
374,6,17,močna,,močen,Agpfsn,ADJ,O,
374,6,18,in,,in,Cc,CCONJ,O,
374,6,19,se,,se,Px------y,PRON,O,
374,6,20,je,,biti,Va-r3s-n,AUX,O,
374,6,21,od,,od,Sg,ADP,O,
374,6,22,pomladi,,pomlad,Ncfsg,NOUN,O,
374,6,23,2016,,2016,Mdc,NUM,O,
374,6,24,še,,še,Q,PART,O,
374,6,25,povečala,,povečati,Vmep-sf,VERB,O,
374,6,26,.,,.,Z,PUNCT,O,
374,7,1,To,,ta,Pd-nsn,DET,O,
374,7,2,sta,,biti,Va-r3d-n,AUX,O,
374,7,3,glavni,,glaven,Agpfdn,ADJ,O,
374,7,4,ugotovitvi,,ugotovitev,Ncfdn,NOUN,O,
374,7,5,najnovejše,,nov,Agsfsg,ADJ,O,
374,7,6,standardne,,standarden,Agpfsg,ADJ,O,
374,7,7,jesenske,,jesenski,Agpfsg,ADJ,O,
374,7,8,raziskave,,raziskava,Ncfsg,NOUN,O,
374,7,9,Eurobarometer,eurobarometer,Eurobarometer,Npmsn,PROPN,B-MISC,40017.0
374,7,10,",",,",",Z,PUNCT,O,
374,7,11,ki,,ki,Cs,SCONJ,O,
374,7,12,je,,biti,Va-r3s-n,AUX,O,
374,7,13,bila,,biti,Va-p-sf,AUX,O,
374,7,14,objavljena,,objavljen,Appfsn,ADJ,O,
374,7,15,danes,,danes,Rgp,ADV,O,
374,7,16,skupaj,,skupaj,Rgp,ADV,O,
374,7,17,s,,z,Si,ADP,O,
374,7,18,posebno,,poseben,Agpfsi,ADJ,O,
374,7,19,raziskavo,,raziskava,Ncfsi,NOUN,O,
374,7,20,Eurobarometer,eurobarometer,Eurobarometer,Npmsn,PROPN,B-MISC,40017.0
374,7,21,„,,„,Z,PUNCT,O,
374,7,22,Prihodnost,prihodnost,prihodnost,Ncfsn,NOUN,B-MISC,40135.0
374,7,23,Evrope,evrope,Evropa,Npfsg,PROPN,I-MISC,40135.0
374,7,24,“,,“,Z,PUNCT,O,
374,7,25,.,,.,Z,PUNCT,O,
374,8,1,Evropska,evropska,evropski,Agpfsn,ADJ,B-ORG,1.0
374,8,2,komisija,komisija,komisija,Ncfsn,NOUN,I-ORG,1.0
374,8,3,je,,biti,Va-r3s-n,AUX,O,
374,8,4,danes,,danes,Rgp,ADV,O,
374,8,5,sprejela,,sprejeti,Vmep-sf,VERB,O,
374,8,6,sveženj,,sveženj,Ncmsan,NOUN,O,
374,8,7,ukrepov,,ukrep,Ncmpg,NOUN,O,
374,8,8,za,,za,Sa,ADP,O,
374,8,9,učinkovitejši,,učinkovit,Agcmsay,ADJ,O,
374,8,10,boj,,boj,Ncmsan,NOUN,O,
374,8,11,proti,,proti,Sd,ADP,O,
374,8,12,financiranju,,financiranje,Ncnsd,NOUN,O,
374,8,13,terorizma,,terorizem,Ncmsg,NOUN,O,
374,8,14,in,,in,Cc,CCONJ,O,
374,8,15,organiziranega,,organiziran,Appmsg,ADJ,O,
374,8,16,kriminala,,kriminal,Ncmsg,NOUN,O,
374,8,17,v,,v,Sl,ADP,O,
374,8,18,EU,eu,EU,Npfsl,PROPN,B-LOC,6.0
374,8,19,.,,.,Z,PUNCT,O,
374,9,1,Predlogi,,predlog,Ncmpn,NOUN,O,
374,9,2,bodo,,biti,Va-f3p-n,AUX,O,
374,9,3,dopolnili,,dopolniti,Vmep-pm,VERB,O,
374,9,4,in,,in,Cc,CCONJ,O,
374,9,5,okrepili,,okrepiti,Vmep-pm,VERB,O,
374,9,6,pravni,,praven,Agpmsay,ADJ,O,
374,9,7,okvir,,okvir,Ncmsan,NOUN,O,
374,9,8,EU,eu,EU,Npfsg,PROPN,B-LOC,6.0
374,9,9,na,,na,Sl,ADP,O,
374,9,10,področjih,,področje,Ncnpl,NOUN,O,
374,9,11,pranja,,pranje,Ncnsg,NOUN,O,
374,9,12,denarja,,denar,Ncmsg,NOUN,O,
374,9,13,",",,",",Z,PUNCT,O,
374,9,14,nedovoljenih,,nedovoljen,Agpmpg,ADJ,O,
374,9,15,denarnih,,denaren,Agpmpg,ADJ,O,
374,9,16,tokov,,tok,Ncmpg,NOUN,O,
374,9,17,ter,,ter,Cc,CCONJ,O,
374,9,18,zamrznitve,,zamrznitev,Ncfsg,NOUN,O,
374,9,19,in,,in,Cc,CCONJ,O,
374,9,20,zaplembe,,zaplemba,Ncfsg,NOUN,O,
374,9,21,sredstev,,sredstvo,Ncnpg,NOUN,O,
374,9,22,.,,.,Z,PUNCT,O,
374,10,1,Odkrivanje,,odkrivanje,Ncnsn,NOUN,O,
374,10,2,sumljivih,,sumljiv,Agpmpg,ADJ,O,
374,10,3,finančnih,,finančen,Agpmpg,ADJ,O,
374,10,4,tokov,,tok,Ncmpg,NOUN,O,
374,10,5,in,,in,Cc,CCONJ,O,
374,10,6,onemogočanje,,onemogočanje,Ncnsn,NOUN,O,
374,10,7,financiranja,,financiranje,Ncnsg,NOUN,O,
374,10,8,sta,,biti,Va-r3d-n,AUX,O,
374,10,9,med,,med,Si,ADP,O,
374,10,10,najučinkovitejšimi,,učinkovit,Agsmpi,ADJ,O,
374,10,11,načini,,način,Ncmpi,NOUN,O,
374,10,12,za,,za,Sa,ADP,O,
374,10,13,preprečevanje,,preprečevanje,Ncnsa,NOUN,O,
374,10,14,terorističnih,,terorističen,Agpmpg,ADJ,O,
374,10,15,napadov,,napad,Ncmpg,NOUN,O,
374,10,16,in,,in,Cc,CCONJ,O,
374,10,17,kriminalnih,,kriminalen,Agpfpg,ADJ,O,
374,10,18,dejavnosti,,dejavnost,Ncfpg,NOUN,O,
374,10,19,",",,",",Z,PUNCT,O,
374,10,20,sledenje,,sledenje,Ncnsn,NOUN,O,
374,10,21,finančnim,,finančen,Agpmpd,ADJ,O,
374,10,22,tokovom,,tok,Ncmpd,NOUN,O,
374,10,23,pa,,pa,Cc,CCONJ,O,
374,10,24,policiji,,policija,Ncfsd,NOUN,O,
374,10,25,in,,in,Cc,CCONJ,O,
374,10,26,organom,,organ,Ncmpd,NOUN,O,
374,10,27,kazenskega,,kazenski,Agpmsg,ADJ,O,
374,10,28,pregona,,pregon,Ncmsg,NOUN,O,
374,10,29,pomaga,,pomagati,Vmbr3s,VERB,O,
374,10,30,pri,,pri,Sl,ADP,O,
374,10,31,preiskavah,,preiskava,Ncfpl,NOUN,O,
374,10,32,.,,.,Z,PUNCT,O,
335,0,1,Evropska,evropska,evropski,Agpfsn,ADJ,B-ORG,1.0
335,0,2,komisija,komisija,komisija,Ncfsn,NOUN,I-ORG,1.0
335,0,3,tri,,trije,Mlcfpa,NUM,O,
335,0,4,banke,,banka,Ncfpa,NOUN,O,
335,0,5,oglobila,,oglobiti,Vmep-sf,VERB,O,
335,0,6,za,,za,Sa,ADP,O,
335,0,7,485,,485,Mdc,NUM,O,
335,0,8,milijonov,,milijon,Ncmpg,NOUN,O,
335,0,9,evrov,,evro,Ncmpg,NOUN,O,
335,0,10,|,,|,Ncmsn,NOUN,O,
335,0,11,Revija,revija,revija,Ncfsn,NOUN,B-ORG,40048.0
335,0,12,Reporter,reporter,Reporter,Npmsn,PROPN,I-ORG,40048.0
335,1,1,Evropska,evropska,evropski,Agpfsn,ADJ,B-ORG,1.0
335,1,2,komisija,komisija,komisija,Ncfsn,NOUN,I-ORG,1.0
335,1,3,je,,biti,Va-r3s-n,AUX,O,
335,1,4,zaradi,,zaradi,Sg,ADP,O,
335,1,5,kartelnega,,kartelen,Agpnsg,ADJ,O,
335,1,6,dogovarjanja,,dogovarjanje,Ncnsg,NOUN,O,
335,1,7,in,,in,Cc,CCONJ,O,
335,1,8,manipulacij,,manipulacija,Ncfpg,NOUN,O,
335,1,9,z,,z,Si,ADP,O,
335,1,10,medbančno,,medbančen,Agpfsi,ADJ,O,
335,1,11,obrestno,,obresten,Agpfsi,ADJ,O,
335,1,12,mero,,mera,Ncfsi,NOUN,O,
335,1,13,euribor,,euribor,Ncmsn,NOUN,O,
335,1,14,oglobila,,oglobiti,Vmep-sf,VERB,O,
335,1,15,francosko,,francoski,Agpfsa,ADJ,O,
335,1,16,banko,,banka,Ncfsa,NOUN,O,
335,1,17,Credit,credit,Credit,Npmsn,PROPN,B-ORG,196.0
335,1,18,Agricole,agricole,Agricole,Npmsn,PROPN,I-ORG,196.0
335,1,19,",",,",",Z,PUNCT,O,
335,1,20,britansko,,britanski,Agpfsa,ADJ,O,
335,1,21,HSBC,hsbc,HSBC,Npmsn,PROPN,B-ORG,197.0
335,1,22,in,,in,Cc,CCONJ,O,
335,1,23,ameriško,,ameriški,Agpfsa,ADJ,O,
335,1,24,JP,jp,JP,Npfsn,PROPN,B-ORG,198.0
335,1,25,Morgan,morgan,Morgan,Npfsn,PROPN,I-ORG,198.0
335,1,26,Chase,chase,Chase,Npfsn,PROPN,I-ORG,198.0
335,1,27,.,,.,Z,PUNCT,O,
335,2,1,Skupna,,skupen,Agpfsn,ADJ,O,
335,2,2,višina,,višina,Ncfsn,NOUN,O,
335,2,3,globe,,globa,Ncfsg,NOUN,O,
335,2,4,je,,biti,Va-r3s-n,AUX,O,
335,2,5,485,,485,Mdc,NUM,O,
335,2,6,milijonov,,milijon,Ncmpg,NOUN,O,
335,2,7,evrov,,evro,Ncmpg,NOUN,O,
335,2,8,.,,.,Z,PUNCT,O,
335,3,1,V,,v,Sl,ADP,O,
335,3,2,francoski,,francoski,Agpfsl,ADJ,O,
335,3,3,banki,,banka,Ncfsl,NOUN,O,
335,3,4,so,,biti,Va-r3p-n,AUX,O,
335,3,5,že,,že,Q,PART,O,
335,3,6,napovedali,,napovedati,Vmep-pm,VERB,O,
335,3,7,pritožbo,,pritožba,Ncfsa,NOUN,O,
335,3,8,.,,.,Z,PUNCT,O,
335,4,1,Kot,,kot,Cs,SCONJ,O,
335,4,2,poročajo,,poročati,Vmpr3p,VERB,O,
335,4,3,tuje,,tuj,Agpfpn,ADJ,O,
335,4,4,agencije,,agencija,Ncfpn,NOUN,O,
335,4,5,",",,",",Z,PUNCT,O,
335,4,6,je,,biti,Va-r3s-n,AUX,O,
335,4,7,odločitev,,odločitev,Ncfsn,NOUN,O,
335,4,8,komisije,,komisija,Ncfsg,NOUN,O,
335,4,9,zadnja,,zadnji,Agpfsn,ADJ,O,
335,4,10,v,,v,Sl,ADP,O,
335,4,11,vrsti,,vrsta,Ncfsl,NOUN,O,
335,4,12,ukrepov,,ukrep,Ncmpg,NOUN,O,
335,4,13,",",,",",Z,PUNCT,O,
335,4,14,s,,z,Si,ADP,O,
335,4,15,katerim,,kateri,Pq-msi,DET,O,
335,4,16,si,,se,Px---d--y,PRON,O,
335,4,17,EU,eu,EU,Npfsn,PROPN,B-LOC,6.0
335,4,18,prizadeva,,prizadevati,Vmpr3s,VERB,O,
335,4,19,kaznovati,,kaznovati,Vmbn,VERB,O,
335,4,20,zlorabe,,zloraba,Ncfpa,NOUN,O,
335,4,21,",",,",",Z,PUNCT,O,
335,4,22,ki,,ki,Cs,SCONJ,O,
335,4,23,se,,se,Px------y,PRON,O,
335,4,24,jih,,on,Pp3mpa--y,PRON,O,
335,4,25,od,,od,Sg,ADP,O,
335,4,26,finančne,,finančen,Agpfsg,ADJ,O,
335,4,27,krize,,kriza,Ncfsg,NOUN,O,
335,4,28,poslužujejo,,posluževati,Vmpr3p,VERB,O,
335,4,29,največje,,velik,Agsfsg,ADJ,O,
335,4,30,svetovne,,svetoven,Agpfpn,ADJ,O,
335,4,31,banke,,banka,Ncfpn,NOUN,O,
335,4,32,.,,.,Z,PUNCT,O,
335,5,1,Credit,credit,Credit,Npmsn,PROPN,B-ORG,196.0
335,5,2,Agricole,agricole,Agricole,Npmsn,PROPN,I-ORG,196.0
335,5,3,",",,",",Z,PUNCT,O,
335,5,4,HSBC,hsbc,HSBC,Npmsn,PROPN,B-ORG,197.0
335,5,5,in,,in,Cc,CCONJ,O,
335,5,6,JP,jp,JP,Npmsn,PROPN,B-ORG,198.0
335,5,7,Morgan,morgan,Morgan,Npmsn,PROPN,I-ORG,198.0
335,5,8,Chase,chase,Chase,Npmsn,PROPN,I-ORG,198.0
335,5,9,leta,,leto,Ncnsg,NOUN,O,
335,5,10,2013,,2013,Mdc,NUM,O,
335,5,11,niso,,biti,Va-r3p-y,AUX,O,
335,5,12,bile,,biti,Va-p-pf,AUX,O,
335,5,13,del,,del,Ncmsn,NOUN,O,
335,5,14,poravnave,,poravnava,Ncfsg,NOUN,O,
335,5,15,",",,",",Z,PUNCT,O,
335,5,16,ki,,ki,Cs,SCONJ,O,
335,5,17,jo,,on,Pp3fsa--y,PRON,O,
335,5,18,je,,biti,Va-r3s-n,AUX,O,
335,5,19,unija,,unija,Ncfsn,NOUN,O,
335,5,20,med,,med,Si,ADP,O,
335,5,21,drugim,,drug,Mlpnsi,ADJ,O,
335,5,22,dosegla,,doseči,Vmep-sf,VERB,O,
335,5,23,z,,z,Si,ADP,O,
335,5,24,bankami,,banka,Ncfpi,NOUN,O,
335,5,25,Deutsche,deutsche,Deutsche,Npmsn,PROPN,B-ORG,200.0
335,5,26,Bank,bank,Bank,Npmsn,PROPN,I-ORG,200.0
335,5,27,",",,",",Z,PUNCT,O,
335,5,28,Societe,societe,Societe,Npmsn,PROPN,B-ORG,202.0
335,5,29,Generale,generale,Generale,Npmsn,PROPN,I-ORG,202.0
335,5,30,in,,in,Cc,CCONJ,O,
335,5,31,Royal,royal,Royal,Npmsn,PROPN,B-ORG,40054.0
335,5,32,Bank,bank,Bank,Npmsn,PROPN,I-ORG,40054.0
335,5,33,of,of,of,Xf,X,I-ORG,40054.0
335,5,34,Scotland,scotland,Scotland,Npmsn,PROPN,I-ORG,40054.0
335,5,35,.,,.,Z,PUNCT,O,
335,6,1,Slednje,,slednji,Agpfpn,ADJ,O,
335,6,2,so,,biti,Va-r3p-n,AUX,O,
335,6,3,pred,,pred,Si,ADP,O,
335,6,4,tremi,,trije,Mlcnpi,NUM,O,
335,6,5,leti,,leto,Ncnpi,NOUN,O,
335,6,6,priznale,,priznati,Vmep-pf,VERB,O,
335,6,7,krivdo,,krivda,Ncfsa,NOUN,O,
335,6,8,in,,in,Cc,CCONJ,O,
335,6,9,so,,biti,Va-r3p-n,AUX,O,
335,6,10,bile,,biti,Va-p-pf,AUX,O,
335,6,11,zaradi,,zaradi,Sg,ADP,O,
335,6,12,sodelovanja,,sodelovanje,Ncnsg,NOUN,O,
335,6,13,v,,v,Sl,ADP,O,
335,6,14,nezakonitih,,nezakonit,Agpmpl,ADJ,O,
335,6,15,kartelnih,,kartelen,Agpmpl,ADJ,O,
335,6,16,dogovorih,,dogovor,Ncmpl,NOUN,O,
335,6,17,glede,,glede,Sg,ADP,O,
335,6,18,izvedenih,,izveden,Appmpg,ADJ,O,
335,6,19,finančnih,,finančen,Agpmpg,ADJ,O,
335,6,20,instrumentov,,instrument,Ncmpg,NOUN,O,
335,6,21,skupaj,,skupaj,Rgp,ADV,O,
335,6,22,oglobljene,,oglobljen,Appfpn,ADJ,O,
335,6,23,za,,za,Sa,ADP,O,
335,6,24,rekordnih,,rekorden,Agpfpg,ADJ,O,
335,6,25,"1,71",,"1,71",Mdc,NUM,O,
335,6,26,milijarde,,milijarda,Ncfsg,NOUN,O,
335,6,27,evrov,,evro,Ncmpg,NOUN,O,
335,6,28,kazni,,kazen,Ncfsg,NOUN,O,
335,6,29,.,,.,Z,PUNCT,O,
335,7,1,Evropska,,evropski,Agpfsn,ADJ,O,
335,7,2,komisarka,,komisarka,Ncfsn,NOUN,O,
335,7,3,za,,za,Sa,ADP,O,
335,7,4,konkurenco,,konkurenca,Ncfsa,NOUN,O,
335,7,5,Margarethe,margarethe,Margaretha,Npfsg,PROPN,B-PER,35.0
335,7,6,Vestager,vestager,Vestager,Npfsg,PROPN,I-PER,35.0
335,7,7,je,,biti,Va-r3s-n,AUX,O,
335,7,8,danes,,danes,Rgp,ADV,O,
335,7,9,poudarila,,poudariti,Vmep-sf,VERB,O,
335,7,10,",",,",",Z,PUNCT,O,
335,7,11,da,,da,Cs,SCONJ,O,
335,7,12,gre,,iti,Vmbr3s,VERB,O,
335,7,13,za,,za,Sa,ADP,O,
335,7,14,jasno,,jasen,Agpnsa,ADJ,O,
335,7,15,sporočilo,,sporočilo,Ncnsa,NOUN,O,
335,7,16,",",,",",Z,PUNCT,O,
335,7,17,da,,da,Cs,SCONJ,O,
335,7,18,morajo,,morati,Vmpr3p,VERB,O,
335,7,19,vse,,ves,Pg-fpn,DET,O,
335,7,20,banke,,banka,Ncfpn,NOUN,O,
335,7,21,in,,in,Cc,CCONJ,O,
335,7,22,podjetja,,podjetje,Ncnpn,NOUN,O,
335,7,23,spoštovati,,spoštovati,Vmpn,VERB,O,
335,7,24,pravila,,pravilo,Ncnpa,NOUN,O,
335,7,25,EU,eu,EU,Npfsg,PROPN,B-LOC,6.0
335,7,26,.,,.,Z,PUNCT,O,
335,8,1,Francoska,,francoski,Agpfsn,ADJ,O,
335,8,2,banka,,banka,Ncfsn,NOUN,O,
335,8,3,Credit,credit,Credit,Npmsn,PROPN,B-ORG,196.0
335,8,4,Agricole,agricole,Agricole,Npmsn,PROPN,I-ORG,196.0
335,8,5,je,,biti,Va-r3s-n,AUX,O,
335,8,6,po,,po,Sl,ADP,O,
335,8,7,poročanju,,poročanje,Ncnsl,NOUN,O,
335,8,8,nemške,,nemški,Agpfsg,ADJ,O,
335,8,9,tiskovne,,tiskoven,Agpfsg,ADJ,O,
335,8,10,agencije,,agencija,Ncfsg,NOUN,O,
335,8,11,dpa,dpa,DPA,Npfsn,PROPN,B-ORG,20500.0
335,8,12,že,,že,Q,PART,O,
335,8,13,napovedala,,napovedati,Vmep-sf,VERB,O,
335,8,14,",",,",",Z,PUNCT,O,
335,8,15,da,,da,Cs,SCONJ,O,
335,8,16,se,,se,Px------y,PRON,O,
335,8,17,bo,,biti,Va-f3s-n,AUX,O,
335,8,18,na,,na,Sa,ADP,O,
335,8,19,odločitev,,odločitev,Ncfsa,NOUN,O,
335,8,20,komisije,,komisija,Ncfsg,NOUN,O,
335,8,21,pritožila,,pritožiti,Vmep-sf,VERB,O,
335,8,22,.,,.,Z,PUNCT,O,
335,9,1,Kot,,kot,Cs,SCONJ,O,
335,9,2,so,,biti,Va-r3p-n,AUX,O,
335,9,3,zapisali,,zapisati,Vmep-pm,VERB,O,
335,9,4,v,,v,Sl,ADP,O,
335,9,5,banki,,banka,Ncfsl,NOUN,O,
335,9,6,",",,",",Z,PUNCT,O,
335,9,7,so,,biti,Va-r3p-n,AUX,O,
335,9,8,prepričani,,prepričan,Appmpn,ADJ,O,
335,9,9,",",,",",Z,PUNCT,O,
335,9,10,da,,da,Cs,SCONJ,O,
335,9,11,niso,,biti,Va-r3p-y,AUX,O,
335,9,12,kršili,,kršiti,Vmbp-pm,VERB,O,
335,9,13,konkurenčnih,,konkurenčen,Agpnpg,ADJ,O,
335,9,14,pravil,,pravilo,Ncnpg,NOUN,O,
335,9,15,unije,,unija,Ncfsg,NOUN,O,
335,9,16,.,,.,Z,PUNCT,O,
335,10,1,V,,v,Sl,ADP,O,
335,10,2,zadnjih,,zadnji,Agpnpl,ADJ,O,
335,10,3,letih,,leto,Ncnpl,NOUN,O,
335,10,4,je,,biti,Va-r3s-n,AUX,O,
335,10,5,sicer,,sicer,Q,PART,O,
335,10,6,po,,po,Sl,ADP,O,
335,10,7,poročanju,,poročanje,Ncnsl,NOUN,O,
335,10,8,francoske,,francoski,Agpfsg,ADJ,O,
335,10,9,tiskovne,,tiskoven,Agpfsg,ADJ,O,
335,10,10,agencija,,agencija,Ncfsn,NOUN,O,
335,10,11,AFP,afp,AFP,Npmsn,PROPN,B-ORG,10142.0
335,10,12,okoli,,okoli,Rgp,ADV,O,
335,10,13,12,,12,Mdc,NUM,O,
335,10,14,bank,,banka,Ncfpg,NOUN,O,
335,10,15,priznalo,,priznati,Vmep-sn,VERB,O,
335,10,16,",",,",",Z,PUNCT,O,
335,10,17,da,,da,Cs,SCONJ,O,
335,10,18,so,,biti,Va-r3p-n,AUX,O,
335,10,19,sodelovale,,sodelovati,Vmpp-pf,VERB,O,
335,10,20,v,,v,Sl,ADP,O,
335,10,21,kartelnem,,kartelen,Agpnsl,ADJ,O,
335,10,22,dogovarjanju,,dogovarjanje,Ncnsl,NOUN,O,
335,10,23,o,,o,Sl,ADP,O,
335,10,24,nameščanju,,nameščanje,Ncnsl,NOUN,O,
335,10,25,obrestnih,,obresten,Agpfpg,ADJ,O,
335,10,26,mer,,mera,Ncfpg,NOUN,O,
335,10,27,.,,.,Z,PUNCT,O,
335,11,1,Kaznovane,,kaznovan,Appfpn,ADJ,O,
335,11,2,so,,biti,Va-r3p-n,AUX,O,
335,11,3,bile,,biti,Va-p-pf,AUX,O,
335,11,4,z,,z,Si,ADP,O,
335,11,5,visokimi,,visok,Agpfpi,ADJ,O,
335,11,6,globami,,globa,Ncfpi,NOUN,O,
335,11,7,",",,",",Z,PUNCT,O,
335,11,8,odgovorni,,odgovoren,Agpmpn,ADJ,O,
335,11,9,tudi,,tudi,Q,PART,O,
335,11,10,z,,z,Si,ADP,O,
335,11,11,zapornimi,,zaporen,Agpfpi,ADJ,O,
335,11,12,kaznimi,,kazen,Ncfpi,NOUN,O,
335,11,13,.,,.,Z,PUNCT,O,
335,12,1,Zaradi,,zaradi,Sg,ADP,O,
335,12,2,manipuliranja,,manipuliranje,Ncnsg,NOUN,O,
335,12,3,z,,z,Si,ADP,O,
335,12,4,londonsko,,londonski,Agpfsi,ADJ,O,
335,12,5,medbančno,,medbančen,Agpfsi,ADJ,O,
335,12,6,obrestno,,obresten,Agpfsi,ADJ,O,
335,12,7,mero,,mera,Ncfsi,NOUN,O,
335,12,8,libor,,libor,Ncmsn,NOUN,O,
335,12,9,med,,med,Si,ADP,O,
335,12,10,letoma,,leto,Ncndi,NOUN,O,
335,12,11,2005,,2005,Mdc,NUM,O,
335,12,12,in,,in,Cc,CCONJ,O,
335,12,13,2007,,2007,Mdc,NUM,O,
335,12,14,je,,biti,Va-r3s-n,AUX,O,
335,12,15,britansko,,britanski,Agpnsn,ADJ,O,
335,12,16,sodišče,,sodišče,Ncnsn,NOUN,O,
335,12,17,julija,,julij,Ncmsg,NOUN,O,
335,12,18,na,,na,Sa,ADP,O,
335,12,19,zaporne,,zaporen,Agpfpa,ADJ,O,
335,12,20,kazni,,kazen,Ncfpa,NOUN,O,
335,12,21,obsodilo,,obsoditi,Vmep-sn,VERB,O,
335,12,22,štiri,,štirje,Mlcmpa,NUM,O,
335,12,23,nekdanje,,nekdanji,Agpmpa,ADJ,O,
335,12,24,zaposlene,,zaposlen,Appmpa,ADJ,O,
335,12,25,v,,v,Sl,ADP,O,
335,12,26,britanski,,britanski,Agpfsl,ADJ,O,
335,12,27,banki,,banka,Ncfsl,NOUN,O,
335,12,28,Barclays,barclays,Barclays,Npfsn,PROPN,B-ORG,199.0
335,12,29,",",,",",Z,PUNCT,O,
335,12,30,še,,še,Q,PART,O,
335,12,31,poroča,,poročati,Vmpr3s,VERB,O,
335,12,32,agencija,,agencija,Ncfsn,NOUN,O,
335,12,33,.,,.,Z,PUNCT,O,
340,0,1,Evropska,evropska,evropski,Agpfsn,ADJ,B-ORG,1.0
340,0,2,komisija,komisija,komisija,Ncfsn,NOUN,I-ORG,1.0
340,0,3,objavila,,objaviti,Vmep-sf,VERB,O,
340,0,4,predlog,,predlog,Ncmsan,NOUN,O,
340,0,5,za,,za,Sa,ADP,O,
340,0,6,prenovo,,prenova,Ncfsa,NOUN,O,
340,0,7,pravnega,,praven,Agpmsg,ADJ,O,
340,0,8,okvira,,okvir,Ncmsg,NOUN,O,
340,0,9,elektronskih,,elektronski,Agpfpg,ADJ,O,
340,0,10,komunikacij,,komunikacija,Ncfpg,NOUN,O,
340,1,1,Evropska,evropska,evropski,Agpfsn,ADJ,B-ORG,1.0
340,1,2,komisija,komisija,komisija,Ncfsn,NOUN,I-ORG,1.0
340,1,3,je,,biti,Va-r3s-n,AUX,O,
340,1,4,objavila,,objaviti,Vmep-sf,VERB,O,
340,1,5,predlog,,predlog,Ncmsan,NOUN,O,
340,1,6,nove,,nov,Agpfsg,ADJ,O,
340,1,7,Direktive,direktiva,Direktiva,Npfsg,PROPN,B-MISC,40080.0
340,1,8,za,za,za,Sa,ADP,I-MISC,40080.0
340,1,9,vzpostavitev,vzpostavitev,vzpostavitev,Ncfsa,NOUN,I-MISC,40080.0
340,1,10,kodeksa,kodeksa,kodeks,Ncmsg,NOUN,I-MISC,40080.0
340,1,11,evropskih,evropskih,evropski,Agpfpg,ADJ,I-MISC,40080.0
340,1,12,elektronskih,elektronskih,elektronski,Agpfpg,ADJ,I-MISC,40080.0
340,1,13,komunikacij,komunikacij,komunikacija,Ncfpg,NOUN,I-MISC,40080.0
340,1,14,",",,",",Z,PUNCT,O,
340,1,15,s,,z,Si,ADP,O,
340,1,16,katero,,kateri,Pq-fsi,DET,O,
340,1,17,predlaga,,predlagati,Vmbr3s,VERB,O,
340,1,18,pomembne,,pomemben,Agpfpa,ADJ,O,
340,1,19,zakonodajne,,zakonodajen,Agpfpa,ADJ,O,
340,1,20,spremembe,,sprememba,Ncfpa,NOUN,O,
340,1,21,na,,na,Sl,ADP,O,
340,1,22,področju,,področje,Ncnsl,NOUN,O,
340,1,23,elektronskih,,elektronski,Agpfpg,ADJ,O,
340,1,24,komunikacij,,komunikacija,Ncfpg,NOUN,O,
340,1,25,",",,",",Z,PUNCT,O,
340,1,26,ki,,ki,Cs,SCONJ,O,
340,1,27,bodo,,biti,Va-f3p-n,AUX,O,
340,1,28,predmet,,predmet,Ncmsan,NOUN,O,
340,1,29,usklajevanj,,usklajevanje,Ncnpg,NOUN,O,
340,1,30,v,,v,Sl,ADP,O,
340,1,31,postopku,,postopek,Ncmsl,NOUN,O,
340,1,32,sprejemanja,,sprejemanje,Ncnsg,NOUN,O,
340,1,33,v,,v,Sl,ADP,O,
340,1,34,Evropskem,evropski,evropski,Agpmsl,ADJ,B-ORG,14.0
340,1,35,parlamentu,parlament,parlament,Ncmsl,NOUN,I-ORG,14.0
340,1,36,in,,in,Cc,CCONJ,O,
340,1,37,Svetu,svet,svet,Ncmsl,NOUN,B-ORG,190.0
340,1,38,Evropske,evropske,evropski,Agpfsg,ADJ,I-ORG,190.0
340,1,39,unije,unije,unija,Ncfsg,NOUN,I-ORG,190.0
340,1,40,.,,.,Z,PUNCT,O,
340,2,1,Glede,,glede,Rgp,ADV,O,
340,2,2,na,,na,Sa,ADP,O,
340,2,3,načrte,,načrt,Ncmpa,NOUN,O,
340,2,4,Evropske,evropska,evropski,Agpfsg,ADJ,B-ORG,1.0
340,2,5,komisije,komisija,komisija,Ncfsg,NOUN,I-ORG,1.0
340,2,6,bi,,biti,Va-c,AUX,O,
340,2,7,lahko,,lahko,Rgp,ADV,O,
340,2,8,države,,država,Ncfpn,NOUN,O,
340,2,9,članice,,članica,Ncfpn,NOUN,O,
340,2,10,EU,eu,EU,Npfsg,PROPN,B-LOC,6.0
340,2,11,spremembe,,sprememba,Ncfpn,NOUN,O,
340,2,12,uveljavile,,uveljaviti,Vmep-pf,VERB,O,
340,2,13,že,,že,Q,PART,O,
340,2,14,v,,v,Sl,ADP,O,
340,2,15,letu,,leto,Ncnsl,NOUN,O,
340,2,16,2019.,,2019.,Mdo,NUM,O,
340,3,1,Predlog,,predlog,Ncmsn,NOUN,O,
340,3,2,direktive,,direktiva,Ncfsg,NOUN,O,
340,3,3,spreminja,,spreminjati,Vmpr3s,VERB,O,
340,3,4,obstoječi,,obstoječ,Appmsay,ADJ,O,
